scenarioID,V,wireGauge,turns,radius,wireGauge_car,turns_car,radius_car,height,spacing,velocity,totalCharge,cost,cost/charge
[],[V],[],[],[m],[],[],[m],[m],[m],[m/s],[C],[$],[C/$]
97,100,8,460,1,8,230,1.500000e+00,1.500000e-01,0,30,1.393932e+03,1.013533e+03,7.271037e-01,
98,100,8,460,1,12,230,1.500000e+00,1.500000e-01,0,30,5.511243e+02,1.013533e+03,1.839028e+00,
99,100,8,460,1,8,260,1.500000e+00,1.500000e-01,0,30,1.394628e+03,1.013533e+03,7.267405e-01,
100,100,8,460,1,12,260,1.500000e+00,1.500000e-01,0,30,5.513997e+02,1.013533e+03,1.838109e+00,
101,100,8,460,1,8,290,1.500000e+00,1.500000e-01,0,30,1.395181e+03,1.013533e+03,7.264525e-01,
102,100,8,460,1,12,290,1.500000e+00,1.500000e-01,0,30,5.516184e+02,1.013533e+03,1.837381e+00,
103,100,8,460,1,8,320,1.500000e+00,1.500000e-01,0,30,1.395631e+03,1.013533e+03,7.262184e-01,
104,100,8,460,1,12,320,1.500000e+00,1.500000e-01,0,30,5.517961e+02,1.013533e+03,1.836789e+00,
105,250,8,460,1,8,230,1.500000e+00,1.500000e-01,0,30,3.484830e+03,6.334582e+03,1.817759e+00,
106,250,8,460,1,12,230,1.500000e+00,1.500000e-01,0,30,1.377811e+03,6.334582e+03,4.597570e+00,
107,250,8,460,1,8,260,1.500000e+00,1.500000e-01,0,30,3.486571e+03,6.334582e+03,1.816851e+00,
108,250,8,460,1,12,260,1.500000e+00,1.500000e-01,0,30,1.378499e+03,6.334582e+03,4.595274e+00,
109,250,8,460,1,8,290,1.500000e+00,1.500000e-01,0,30,3.487954e+03,6.334582e+03,1.816131e+00,
110,250,8,460,1,12,290,1.500000e+00,1.500000e-01,0,30,1.379046e+03,6.334582e+03,4.593452e+00,
111,250,8,460,1,8,320,1.500000e+00,1.500000e-01,0,30,3.489078e+03,6.334582e+03,1.815546e+00,
112,250,8,460,1,12,320,1.500000e+00,1.500000e-01,0,30,1.379490e+03,6.334582e+03,4.591973e+00,
113,450,8,460,1,8,230,1.500000e+00,1.500000e-01,0,30,6.272693e+03,2.052404e+04,3.271967e+00,
114,450,8,460,1,12,230,1.500000e+00,1.500000e-01,0,30,2.480059e+03,2.052404e+04,8.275626e+00,
115,450,8,460,1,8,260,1.500000e+00,1.500000e-01,0,30,6.275828e+03,2.052404e+04,3.270332e+00,
116,450,8,460,1,12,260,1.500000e+00,1.500000e-01,0,30,2.481299e+03,2.052404e+04,8.271493e+00,
117,450,8,460,1,8,290,1.500000e+00,1.500000e-01,0,30,6.278317e+03,2.052404e+04,3.269036e+00,
118,450,8,460,1,12,290,1.500000e+00,1.500000e-01,0,30,2.482283e+03,2.052404e+04,8.268214e+00,
119,450,8,460,1,8,320,1.500000e+00,1.500000e-01,0,30,6.280340e+03,2.052404e+04,3.267983e+00,
120,450,8,460,1,12,320,1.500000e+00,1.500000e-01,0,30,2.483083e+03,2.052404e+04,8.265551e+00,
